type,priority,message,trip_id,driver_id
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_01,DRV001
correlation,high,2 events where driving and stress coincided. These require attention.,TRIP_DRV001_01,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_01,DRV001
safety,high,Trip TRIP_DRV001_02 had elevated risk. Consider taking a break.,TRIP_DRV001_02,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_02,DRV001
correlation,high,6 events where driving and stress coincided. These require attention.,TRIP_DRV001_02,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_02,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_03,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_03,DRV001
safety,high,Trip TRIP_DRV001_04 had elevated risk. Consider taking a break.,TRIP_DRV001_04,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_04,DRV001
correlation,high,4 events where driving and stress coincided. These require attention.,TRIP_DRV001_04,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_04,DRV001
safety,high,Trip TRIP_DRV001_05 had elevated risk. Consider taking a break.,TRIP_DRV001_05,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_05,DRV001
correlation,high,3 events where driving and stress coincided. These require attention.,TRIP_DRV001_05,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_05,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_06,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_06,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_07,DRV001
correlation,high,2 events where driving and stress coincided. These require attention.,TRIP_DRV001_07,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_07,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_08,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_08,DRV001
safety,high,Trip TRIP_DRV001_09 had elevated risk. Consider taking a break.,TRIP_DRV001_09,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_09,DRV001
correlation,high,4 events where driving and stress coincided. These require attention.,TRIP_DRV001_09,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_09,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_10,DRV001
correlation,high,4 events where driving and stress coincided. These require attention.,TRIP_DRV001_10,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_10,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_11,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_11,DRV001
safety,high,Trip TRIP_DRV001_12 had elevated risk. Consider taking a break.,TRIP_DRV001_12,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV001_12,DRV001
correlation,high,4 events where driving and stress coincided. These require attention.,TRIP_DRV001_12,DRV001
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV001_12,DRV001
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_01,DRV002
correlation,high,3 events where driving and stress coincided. These require attention.,TRIP_DRV002_01,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_01,DRV002
safety,high,Trip TRIP_DRV002_02 had elevated risk. Consider taking a break.,TRIP_DRV002_02,DRV002
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_02,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_02,DRV002
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_03,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_03,DRV002
safety,high,Trip TRIP_DRV002_04 had elevated risk. Consider taking a break.,TRIP_DRV002_04,DRV002
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_04,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_04,DRV002
safety,high,Trip TRIP_DRV002_05 had elevated risk. Consider taking a break.,TRIP_DRV002_05,DRV002
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_05,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_05,DRV002
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_06,DRV002
correlation,high,2 events where driving and stress coincided. These require attention.,TRIP_DRV002_06,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_06,DRV002
driving_style,medium,Multiple harsh driving events detected. Smoother driving recommended.,TRIP_DRV002_07,DRV002
correlation,high,3 events where driving and stress coincided. These require attention.,TRIP_DRV002_07,DRV002
route,low,Road quality issues detected on this route. Consider alternate paths.,TRIP_DRV002_07,DRV002
